ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
41009166,中古マンション等,,41201,佐賀県,佐賀市,駅前中央,佐賀,5,４ＬＤＫ,100,,,,平成21年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,未改装,,7.342422680822207
41010476,中古マンション等,,41201,佐賀県,佐賀市,栄町,佐賀,5,２ＬＤＫ,45,,,,平成2年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,改装済,,6.643452676486188
41007977,中古マンション等,,41201,佐賀県,佐賀市,兵庫南,佐賀,28,３ＬＤＫ,80,,,,平成11年,ＲＣ,住宅,住宅,,,,準住居地域,60.0,200.0,2015年第４四半期,改装済,,7.204119982655925
41007130,中古マンション等,,41201,佐賀県,佐賀市,田代,佐賀,30分?60分,３ＬＤＫ,75,,,,,ＳＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2016年第４四半期,未改装,,6.8750612633917
41019809,中古マンション等,,41201,佐賀県,佐賀市,駅南本町,佐賀,6,３ＬＤＫ,75,,,,平成15年,ＳＲＣ,住宅,,,,,商業地域,80.0,500.0,2013年第２四半期,改装済,,7.079181246047625
41022149,中古マンション等,,41201,佐賀県,佐賀市,田代,佐賀,30分?60分,３ＬＤＫ,75,,,,昭和64年,ＳＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2009年第４四半期,改装済,,6.8061799739838875
41007221,中古マンション等,,41201,佐賀県,佐賀市,唐人,佐賀,8,２ＬＤＫ,60,,,,平成2年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第４四半期,改装済,,6.8750612633917
41006907,中古マンション等,,41201,佐賀県,佐賀市,新中町,佐賀,16,２ＬＤＫ,65,,,,平成19年,ＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2016年第３四半期,未改装,,6.845098040014257
41012270,中古マンション等,,41201,佐賀県,佐賀市,水ヶ江,佐賀,30分?60分,３ＬＤＫ,75,,,,平成18年,ＲＣ,住宅,,,,,近隣商業地域,80.0,200.0,2012年第４四半期,改装済,,7.204119982655925
41005679,中古マンション等,,41201,佐賀県,佐賀市,駅前中央,佐賀,4,３ＬＤＫ,75,,,,平成9年,ＳＲＣ,,住宅,,,,商業地域,80.0,400.0,2019年第２四半期,未改装,,7.079181246047625
41020576,中古マンション等,,41202,佐賀県,唐津市,松南町,東唐津,4,１ＬＤＫ,40,,,,平成3年,ＳＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2013年第４四半期,未改装,,6.7923916894982534
41006812,中古マンション等,,41201,佐賀県,佐賀市,栄町,佐賀,4,２ＤＫ,45,,,,平成2年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第２四半期,未改装,,6.763427993562937
41008043,中古マンション等,,41201,佐賀県,佐賀市,堀川町,佐賀,25,３ＬＤＫ,65,,,,平成3年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2018年第４四半期,未改装,,6.892094602690481
41006691,中古マンション等,,41201,佐賀県,佐賀市,神野東,佐賀,7,３ＬＤＫ,75,,,,平成8年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2016年第３四半期,改装済,,7.113943352306837
41000501,中古マンション等,,41201,佐賀県,佐賀市,鍋島,佐賀,30分?60分,３ＬＤＫ,70,,,,平成16年,ＳＲＣ,住宅,住宅,,,,第２種住居地域,60.0,200.0,2014年第４四半期,,,7.204119982655925
41008280,中古マンション等,,41201,佐賀県,佐賀市,水ヶ江,佐賀,30分?60分,３ＬＤＫ,80,,,,平成18年,ＲＣ,,住宅,,,,近隣商業地域,80.0,200.0,2019年第４四半期,改装済,,7.301029995663981
41009835,中古マンション等,,41202,佐賀県,唐津市,栄町,唐津,15,３ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第４四半期,未改装,,7.176091259055681
41019836,中古マンション等,,41201,佐賀県,佐賀市,卸本町,佐賀,30分?60分,３ＬＤＫ,70,,,,平成19年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2013年第１四半期,未改装,,6.954242509439325
41009877,中古マンション等,,41202,佐賀県,唐津市,松南町,東唐津,4,２ＬＤＫ,75,,,,平成3年,ＳＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2018年第４四半期,未改装,,7.041392685158225
41000502,中古マンション等,,41201,佐賀県,佐賀市,鍋島,佐賀,1H?1H30,４ＬＤＫ,95,,,,平成13年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第４四半期,未改装,,7.176091259055681
41022504,中古マンション等,,41202,佐賀県,唐津市,千代田町,唐津,11,４ＬＤＫ,80,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第２四半期,未改装,,7.2552725051033065
41000811,中古マンション等,,41201,佐賀県,佐賀市,兵庫町,佐賀,20,３ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2010年第４四半期,未改装,,7.278753600952829
41002743,中古マンション等,,41201,佐賀県,佐賀市,愛敬町,佐賀,8,オープンフロア,70,,,,昭和62年,ＳＲＣ,事務所,,,,,商業地域,80.0,400.0,2011年第１四半期,未改装,,6.778151250383644
41020112,中古マンション等,,41201,佐賀県,佐賀市,鍋島,佐賀,30分?60分,３ＬＤＫ,70,,,,平成9年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2013年第４四半期,未改装,調停・競売等,6.977723605288848
41006687,中古マンション等,,41201,佐賀県,佐賀市,神野東,佐賀,5,３ＬＤＫ,60,,,,昭和58年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第２四半期,未改装,,6.8061799739838875
41005756,中古マンション等,,41201,佐賀県,佐賀市,大財,佐賀,25,３ＬＤＫ,70,,,,平成11年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第３四半期,改装済,,7.079181246047625
41010530,中古マンション等,,41201,佐賀県,佐賀市,白山,佐賀,16,２ＬＤＫ,60,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第２四半期,未改装,,6.903089986991944
41010643,中古マンション等,,41202,佐賀県,唐津市,東町,和多田,9,４ＬＤＫ,90,,,,平成13年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第１四半期,未改装,,7.204119982655925
41008440,中古マンション等,,41201,佐賀県,佐賀市,諸富町大字徳富,佐賀,1H30?2H,１Ｋ,15,,,,平成24年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2015年第３四半期,,,6.681241237375588
41020427,中古マンション等,,41201,佐賀県,佐賀市,若楠,佐賀,30分?60分,３ＬＤＫ,85,,,,平成16年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2013年第１四半期,未改装,,7.230448921378274
41023890,中古マンション等,,41201,佐賀県,佐賀市,新中町,佐賀,16,３ＬＤＫ,65,,,,平成19年,ＲＣ,住宅,,,,,第２種住居地域,60.0,200.0,2007年第４四半期,未改装,,7.278753600952829
41010273,中古マンション等,,41202,佐賀県,唐津市,西城内,唐津,11,３ＬＤＫ,80,,,,昭和64年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第１四半期,未改装,,6.944482672150168
