ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
2018225,中古マンション等,,2202,青森県,弘前市,大字富田,弘前,15,１Ｋ,30,,,,平成2年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2008年第４四半期,未改装,,6.3979400086720375
2025187,中古マンション等,,2203,青森県,八戸市,大字番町,本八戸,11,３ＬＤＫ,75,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2011年第３四半期,未改装,,7.447158031342219
2010992,中古マンション等,,2201,青森県,青森市,安方,青森,10,３ＤＫ,55,,,,昭和59年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,改装済,,6.897627091290442
2003745,中古マンション等,,2201,青森県,青森市,新町,青森,12,２ＤＫ,70,,,,平成19年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2016年第２四半期,未改装,,7.301029995663981
2011665,中古マンション等,,2202,青森県,弘前市,大字山道町,弘前,14,２ＤＫ,30,,,,昭和63年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2014年第１四半期,未改装,,6.6127838567197355
2002175,中古マンション等,,2201,青森県,青森市,桜川,東青森,21,３ＬＤＫ,60,,,,平成15年,ＲＣ,住宅,,,,,第１種低層住居専用地域,60.0,150.0,2010年第４四半期,未改装,,7.146128035678238
2019426,中古マンション等,,2203,青森県,八戸市,大字上徒士町,本八戸,21,２ＤＫ,65,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第３四半期,未改装,調停・競売等,6.785329835010767
2001453,中古マンション等,,2201,青森県,青森市,勝田,筒井(青森),28,４ＬＤＫ,85,,,,平成18年,ＲＣ,住宅,住宅,,,,第２種中高層住居専用地域,60.0,200.0,2016年第３四半期,未改装,,7.3979400086720375
2021502,中古マンション等,,2201,青森県,青森市,安方,青森,16,２ＬＤＫ,55,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第１四半期,未改装,,6.939519252618618
2006601,中古マンション等,,2202,青森県,弘前市,大字駅前町,弘前,2,３ＬＤＫ,80,,,,平成16年,ＲＣ,住宅,住宅,,,,商業地域,80.0,600.0,2014年第３四半期,,,7.342422680822207
2009972,中古マンション等,,2201,青森県,青森市,松原,青森,30分?60分,３ＬＤＫ,70,,,,平成3年,ＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2013年第４四半期,未改装,,6.977723605288848
2007839,中古マンション等,,2201,青森県,青森市,浜田,筒井(青森),30分?60分,２ＬＤＫ,70,,,,平成21年,ＲＣ,住宅,住宅,,,,第１種中高層住居専用地域,60.0,200.0,2020年第２四半期,未改装,,7.361727836017593
