ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
9004837,中古マンション等,,9201,栃木県,宇都宮市,東簗瀬,宇都宮,29,２ＤＫ,40,,,,平成3年,ＲＣ,住宅,,,,,準工業地域,60.0,200.0,2010年第４四半期,未改装,,6.505149978319906
9019786,中古マンション等,,9201,栃木県,宇都宮市,錦,宇都宮,28,３ＬＤＫ,75,,,,平成19年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第２四半期,未改装,,7.3222192947339195
9008589,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,14,３ＬＤＫ,70,,,,平成24年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第４四半期,未改装,,7.3979400086720375
9027471,中古マンション等,,9201,栃木県,宇都宮市,不動前,東武宇都宮,28,３ＬＤＫ,60,,,,平成3年,ＳＲＣ,住宅,,,,,準工業地域,60.0,200.0,2012年第１四半期,未改装,,6.778151250383644
9010297,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,6,１Ｋ,20,,,,昭和62年,ＳＲＣ,事務所,,,,,商業地域,80.0,300.0,2011年第３四半期,未改装,,5.944482672150168
9025919,中古マンション等,,9201,栃木県,宇都宮市,中河原町,宇都宮,13,３ＬＤＫ,70,,,,平成15年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第４四半期,未改装,,7.230448921378274
9026347,中古マンション等,,9201,栃木県,宇都宮市,東簗瀬,宇都宮,29,,45,,,,平成4年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第１四半期,改装済,,7.079181246047625
9008867,中古マンション等,,9201,栃木県,宇都宮市,東宿郷,宇都宮,16,,50,,,,,,,住宅,,,,,,,2019年第２四半期,,,6.653212513775344
9038404,中古マンション等,,9208,栃木県,小山市,三峯,小山,11,３ＬＤＫ,60,,,,平成7年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2015年第１四半期,改装済,,6.986771734266245
9000125,中古マンション等,,9201,栃木県,宇都宮市,駅前通り,宇都宮,3,３ＬＤＫ,90,,,,平成23年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2010年第４四半期,未改装,,7.698970004336019
9023659,中古マンション等,,9201,栃木県,宇都宮市,中河原町,宇都宮,16,２ＤＫ,35,,,,,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第４四半期,未改装,,6.0
9010759,中古マンション等,,9201,栃木県,宇都宮市,宮みらい,宇都宮,9,３ＬＤＫ,70,,,,平成26年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第１四半期,,,7.505149978319906
9003258,中古マンション等,,9201,栃木県,宇都宮市,越戸,宇都宮,30分?60分,３ＬＤＫ,65,,,,平成16年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第４四半期,未改装,,7.176091259055681
9001906,中古マンション等,,9201,栃木県,宇都宮市,駅前通り,宇都宮,6,３ＬＤＫ,60,,,,,,,住宅,,,,,,,2018年第３四半期,,,6.845098040014257
9010460,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,6,１Ｋ,10,,,,昭和64年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2015年第３四半期,改装済,,6.176091259055681
9010432,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,13,２ＬＤＫ＋Ｓ,70,,,,平成12年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,200.0,2017年第１四半期,未改装,,7.2552725051033065
9005403,中古マンション等,,9201,栃木県,宇都宮市,大寛,東武宇都宮,9,２ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2016年第１四半期,改装済,,7.361727836017593
9066088,中古マンション等,,9213,栃木県,那須塩原市,大原間,那須塩原,9,３ＤＫ,65,,,,平成8年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第２四半期,未改装,,7.079181246047625
9007506,中古マンション等,,9201,栃木県,宇都宮市,本丸町,東武宇都宮,15,３ＬＤＫ,65,,,,平成10年,ＳＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2014年第３四半期,未改装,,7.113943352306837
9008642,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,宇都宮,11,３ＬＤＫ,70,,,,平成31年,ＲＣ,,住宅,,,,商業地域,80.0,600.0,2020年第１四半期,未改装,,7.544068044350276
9056353,中古マンション等,,9208,栃木県,小山市,駅東通り,小山,5,１Ｋ,30,,,,平成3年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第２四半期,未改装,,6.698970004336019
9011030,中古マンション等,,9201,栃木県,宇都宮市,睦町,東武宇都宮,24,２ＬＤＫ,50,,,,昭和63年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2017年第１四半期,未改装,,6.7923916894982534
9022476,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,30分?60分,３ＬＤＫ,75,,,,平成3年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2012年第３四半期,未改装,,7.041392685158225
9032904,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,8,１Ｋ,20,,,,昭和63年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第３四半期,未改装,,6.431363764158987
9011219,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,5,,20,,,,昭和62年,ＳＲＣ,住宅,その他,,,,,,,2015年第２四半期,未改装,,6.2552725051033065
9033877,中古マンション等,,9208,栃木県,小山市,駅東通り,小山,8,３ＬＤＫ,100,,,,平成18年,ＲＣ,住宅,事務所,,,,近隣商業地域,80.0,200.0,2016年第２四半期,未改装,,7.361727836017593
9006104,中古マンション等,,9201,栃木県,宇都宮市,中央,宇都宮,16,２ＬＤＫ,70,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2015年第４四半期,未改装,調停・競売等,7.230448921378274
9011083,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,9,３ＬＤＫ,65,,,,平成13年,ＲＣ,,住宅,,,,商業地域,80.0,400.0,2019年第３四半期,未改装,,7.278753600952829
9006557,中古マンション等,,9201,栃木県,宇都宮市,東簗瀬,宇都宮,28,２ＬＤＫ,45,,,,平成4年,ＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2014年第３四半期,改装済,,7.2552725051033065
9019773,中古マンション等,,9201,栃木県,宇都宮市,錦,宇都宮,25,３ＬＤＫ,65,,,,平成19年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2007年第４四半期,未改装,,7.342422680822207
9008914,中古マンション等,,9201,栃木県,宇都宮市,東宿郷,宇都宮,11,３ＬＤＫ,70,,,,平成26年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2016年第４四半期,未改装,,7.462397997898956
9010364,中古マンション等,,9201,栃木県,宇都宮市,南大通り,宇都宮,7,１Ｋ,20,,,,昭和61年,,住宅,住宅,,,,商業地域,80.0,400.0,2020年第２四半期,改装済,,6.414973347970818
9068869,中古マンション等,,9213,栃木県,那須塩原市,塩原,西那須野,2H?,１ＤＫ,30,,,,,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第３四半期,改装済,,6.278753600952829
9044798,中古マンション等,,9208,栃木県,小山市,中央町,小山,4,３ＬＤＫ,65,,,,平成19年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第３四半期,未改装,,7.342422680822207
9014038,中古マンション等,,9201,栃木県,宇都宮市,旭,東武宇都宮,10,２ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第３四半期,未改装,,7.431363764158987
9004882,中古マンション等,,9201,栃木県,宇都宮市,宿郷,宇都宮,8,,15,,,,平成2年,ＳＲＣ,住宅,その他,,,,商業地域,80.0,400.0,2015年第１四半期,未改装,,5.6020599913279625
9018416,中古マンション等,,9201,栃木県,宇都宮市,中河原町,宇都宮,11,２ＬＤＫ,60,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2008年第４四半期,改装済,,7.0
9001496,中古マンション等,,9201,栃木県,宇都宮市,駅前通り,宇都宮,3,２ＬＤＫ,60,,,,平成23年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2011年第１四半期,,,7.3979400086720375
9006137,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,30分?60分,３ＬＤＫ,75,,,,平成3年,ＳＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第１四半期,改装済,,7.079181246047625
9008647,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,宇都宮,11,２ＬＤＫ,65,,,,平成31年,,住宅,事務所,,,,商業地域,80.0,600.0,2019年第１四半期,未改装,,7.544068044350276
9000135,中古マンション等,,9201,栃木県,宇都宮市,駅前通り,宇都宮,3,１ＬＤＫ,50,,,,平成23年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第２四半期,,,7.301029995663981
9015732,中古マンション等,,9202,栃木県,足利市,山下町,山前,8,１ＤＫ,30,,,,昭和60年,ＲＣ,住宅,住宅,,,,準工業地域,60.0,200.0,2015年第２四半期,未改装,,6.079181246047625
9022490,中古マンション等,,9201,栃木県,宇都宮市,戸祭,東武宇都宮,28,３ＬＤＫ,75,,,,平成4年,ＳＲＣ,住宅,,,,,第２種中高層住居専用地域,60.0,200.0,2012年第２四半期,未改装,,7.0
9000124,中古マンション等,,9201,栃木県,宇都宮市,駅前通り,宇都宮,3,１ＬＤＫ,50,,,,平成23年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第４四半期,未改装,,7.301029995663981
9008129,中古マンション等,,9201,栃木県,宇都宮市,錦,宇都宮,23,４ＬＤＫ,80,,,,平成10年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2019年第４四半期,改装済,,7.278753600952829
9006598,中古マンション等,,9201,栃木県,宇都宮市,元今泉,宇都宮,4,１Ｋ,15,,,,昭和60年,ＳＲＣ,住宅,,,,,商業地域,,,2010年第１四半期,改装済,,6.414973347970818
9004303,中古マンション等,,9201,栃木県,宇都宮市,馬場通り,東武宇都宮,9,２ＬＤＫ,60,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,600.0,2010年第４四半期,,,7.447158031342219
9003874,中古マンション等,,9201,栃木県,宇都宮市,桜,東武宇都宮,19,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2017年第３四半期,未改装,,7.2552725051033065
9033646,中古マンション等,,9202,栃木県,足利市,通,足利,13,３ＬＤＫ,60,,,,平成10年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2012年第２四半期,改装済,,6.812913356642856
9047697,中古マンション等,,9213,栃木県,那須塩原市,北弥六,那須塩原,14,３ＬＤＫ,70,,,,平成20年,ＲＣ,,住宅,,,,市街化区域及び市街化調整区域外の都市計画区域,60.0,200.0,2017年第４四半期,未改装,,7.301029995663981
9033411,中古マンション等,,9202,栃木県,足利市,田中町,足利市,11,,60,,,,平成7年,ＳＲＣ,住宅,,,,,工業地域,60.0,200.0,2012年第１四半期,,,6.826074802700826
9025927,中古マンション等,,9201,栃木県,宇都宮市,中河原町,宇都宮,10,３ＬＤＫ,70,,,,平成4年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2013年第３四半期,未改装,,7.079181246047625
9000861,中古マンション等,,9201,栃木県,宇都宮市,旭,東武宇都宮,8,３ＬＤＫ,65,,,,,,,住宅,,,,,,,2018年第１四半期,,,7.113943352306837
9007430,中古マンション等,,9201,栃木県,宇都宮市,中河原町,宇都宮,15,２ＬＤＫ＋Ｓ,100,,,,平成15年,ＲＣ,住宅,住宅,,,,,,,2015年第３四半期,未改装,,7.447158031342219
