ID,種類,地域,市区町村コード,都道府県名,市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,土地の形状,間口,延床面積（㎡）,建築年,建物の構造,用途,今後の利用目的,前面道路：方位,前面道路：種類,前面道路：幅員（ｍ）,都市計画,建ぺい率（％）,容積率（％）,取引時点,改装,取引の事情等,取引価格（総額）_log
30027100,中古マンション等,,30201,和歌山県,和歌山市,中之島,和歌山,11,２ＬＤＫ,75,,,,平成20年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2009年第４四半期,未改装,,7.2552725051033065
30026903,中古マンション等,,30201,和歌山県,和歌山市,毛見,紀三井寺,1H?1H30,３ＬＤＫ,80,,,,平成16年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2009年第２四半期,未改装,,7.3979400086720375
30000318,中古マンション等,,30201,和歌山県,和歌山市,毛見,海南,30分?60分,２ＬＤＫ,65,,,,平成16年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2014年第１四半期,未改装,調停・競売等,7.113943352306837
30026681,中古マンション等,,30201,和歌山県,和歌山市,岩橋,田井ノ瀬,5,３ＬＤＫ,70,,,,平成3年,ＲＣ,住宅,,,,,市街化調整区域,60.0,200.0,2009年第４四半期,改装済,,6.740362689494244
30010088,中古マンション等,,30201,和歌山県,和歌山市,中之島,和歌山,11,３ＬＤＫ,80,,,,平成18年,ＲＣ,住宅,住宅,,,,商業地域,80.0,400.0,2020年第２四半期,未改装,,7.431363764158987
30030369,中古マンション等,,30201,和歌山県,和歌山市,吉田,和歌山,9,３ＬＤＫ,80,,,,平成12年,ＳＲＣ,住宅,,,,,商業地域,80.0,400.0,2007年第４四半期,改装済,,7.301029995663981
30001142,中古マンション等,,30201,和歌山県,和歌山市,小松原通,和歌山市,19,３ＬＤＫ,70,,,,平成22年,ＲＣ,住宅,,,,,商業地域,80.0,400.0,2010年第４四半期,未改装,,7.301029995663981
30007551,中古マンション等,,30201,和歌山県,和歌山市,上三毛,船戸,12,３ＬＤＫ,65,,,,平成3年,ＳＲＣ,住宅,住宅,,,,第１種住居地域,60.0,200.0,2020年第１四半期,改装済,,6.57978359661681
30003574,中古マンション等,,30201,和歌山県,和歌山市,関戸,和歌山市,30分?60分,３ＬＤＫ,60,,,,平成4年,ＲＣ,住宅,,,,,第１種住居地域,60.0,200.0,2011年第４四半期,改装済,,6.845098040014257
30009612,中古マンション等,,30201,和歌山県,和歌山市,田中町,和歌山,11,３ＬＤＫ,65,,,,平成18年,ＲＣ,住宅,住宅,,,,近隣商業地域,80.0,300.0,2015年第２四半期,未改装,,7.278753600952829
